,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4362,4496,Tetris Axis,Nintendo 3DS,2011,Puzzle,Tetris Online,0.2,0.13,0.06,0.03,0.43
4363,4497,Dora the Explorer: Dora Puppy,Nintendo DS,2009,Misc,Take-Two Interactive,0.39,0.01,0.0,0.03,0.43
4364,4498,Primal,Sony PlayStation 2,2003,Action,Sony Computer Entertainment,0.21,0.17,0.0,0.06,0.43
4365,4499,Madden NFL 2002,Nintendo 64,2001,Sports,Electronic Arts,0.41,0.02,0.0,0.0,0.43
4366,4500,Need for Speed Underground 2,Nintendo Game Boy Advance,2004,Racing,Electronic Arts,0.31,0.12,0.0,0.01,0.43
4367,4501,007: Quantum of Solace,Sony PlayStation 2,2008,Action,Activision,0.17,0.0,0.0,0.26,0.43
4368,4502,Spec Ops: Covert Assault,Sony PlayStation,2001,Shooter,Take-Two Interactive,0.24,0.16,0.0,0.03,0.43
4369,4503,SSX Tricky,Microsoft Xbox,2001,Sports,Electronic Arts,0.32,0.09,0.0,0.02,0.43
4370,4504,Flight Control Rocket,Nintendo Game Boy Advance,2005,Simulation,THQ,0.31,0.12,0.0,0.01,0.43
4371,4505,FIFA 14,PC,2013,Sports,Electronic Arts,0.01,0.36,0.0,0.06,0.43
4372,4506,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Sony PlayStation 2,2005,Action,Disney Interactive Studios,0.36,0.01,0.0,0.06,0.43
4373,4507,Trials Fusion,Sony PlayStation 4,2014,Racing,Ubisoft,0.13,0.21,0.01,0.08,0.43
4374,4508,Wheel of Fortune,Nintendo DS,2010,Misc,THQ,0.41,0.0,0.0,0.03,0.43
4375,4509,NiGHTS into dreams...,Sega Saturn,1996,Platform,Sega,0.0,0.0,0.43,0.0,0.43
4376,4510,NCAA Football 2004,Microsoft Xbox,2003,Sports,Electronic Arts,0.4,0.02,0.0,0.02,0.43
4377,4511,Overwatch,PC,2016,Shooter,Activision,0.22,0.18,0.0,0.04,0.43
4378,4512,Rock Band 4,Microsoft Xbox One,2015,Misc,Harmonix Music Systems,0.35,0.04,0.0,0.04,0.43
4379,4513,NBA Jam,Nintendo Wii,2010,Sports,Electronic Arts,0.38,0.03,0.0,0.03,0.43
4380,4514,Bionicle,Sony PlayStation 2,2003,Action,Electronic Arts,0.21,0.17,0.0,0.06,0.43
4381,4515,Minecraft,Nintendo Wii U,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43
4382,4516,MLB 2002,Sony PlayStation,2001,Sports,Sony Computer Entertainment,0.24,0.16,0.0,0.03,0.43
4383,4517,Sleeping Dogs,Sony PlayStation 4,2014,Action,Square Enix,0.16,0.2,0.0,0.07,0.43
4384,4518,TimeSplitters,Sony PlayStation 2,2000,Shooter,Eidos Interactive,0.21,0.17,0.0,0.06,0.43
4385,4520,InuYasha: The Secret of the Cursed Mask,Sony PlayStation 2,2004,Role-Playing,Namco Bandai Games,0.21,0.17,0.0,0.06,0.43
4386,4521,Rune Factory 3: A Fantasy Harvest Moon,Nintendo DS,2009,Role-Playing,Rising Star Games,0.28,0.03,0.1,0.02,0.43
4387,4522,The Powerpuff Girls: Him and Seek,Nintendo Game Boy Advance,2002,Platform,BAM! Entertainment,0.31,0.11,0.0,0.01,0.43
4388,4523,Mega Man Zero 2,Nintendo Game Boy Advance,2003,Platform,Capcom,0.18,0.07,0.17,0.01,0.43
4389,4524,Wonder Project J: Kikai no Shonen Pino,Super Nintendo Entertainment System,1994,Simulation,Enix Corporation,0.0,0.0,0.43,0.0,0.43
4390,4525,2010 FIFA World Cup South Africa,Nintendo Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.43
4391,4526,Atelier Totori: The Adventurer of Arland,Sony PlayStation 3,2010,Role-Playing,Nippon Ichi Software,0.12,0.07,0.21,0.03,0.43
4392,4527,Spec Ops: The Line,Microsoft Xbox 360,2012,Shooter,Take-Two Interactive,0.21,0.19,0.0,0.04,0.43
4393,4529,Ghostbusters: The Video Game,Sony PlayStation 2,2009,Action,Atari,0.15,0.04,0.0,0.24,0.43
4394,4530,Hunter: The Reckoning  Wayward,Sony PlayStation 2,2003,Action,Interplay,0.21,0.16,0.0,0.06,0.43
4395,4531,How to Train Your Dragon,Nintendo Wii,2010,Action,Activision,0.24,0.15,0.0,0.04,0.43
4396,4532,Command & Conquer 3: Tiberium Wars,Microsoft Xbox 360,2007,Strategy,Electronic Arts,0.35,0.05,0.0,0.03,0.43
4397,4533,WipEout 64,Nintendo 64,1998,Racing,Midway Games,0.28,0.14,0.0,0.01,0.43
4398,4534,Mischief Makers,Nintendo 64,1997,Platform,Nintendo,0.25,0.06,0.07,0.06,0.43
4399,4535,Max Payne 3,PC,2012,Shooter,Take-Two Interactive,0.15,0.22,0.0,0.06,0.43
4400,4536,Petz Bunnyz,Nintendo DS,2008,Simulation,Ubisoft,0.39,0.01,0.0,0.03,0.43
4401,4537,Castlevania: Portrait of Ruin,Nintendo DS,2006,Platform,Konami Digital Entertainment,0.33,0.03,0.04,0.03,0.43
4402,4539,EyeToy: AntiGrav,Sony PlayStation 2,2004,Sports,Sony Computer Entertainment,0.36,0.01,0.0,0.06,0.43
4403,4540,FIFA 14,Nintendo Wii,2013,Sports,Electronic Arts,0.0,0.38,0.0,0.05,0.43
4404,4541,EverQuest Online Adventures,Sony PlayStation 2,2003,Role-Playing,Sony Online Entertainment,0.21,0.16,0.0,0.05,0.43
4405,4542,Cool Boarders,Sony PlayStation,1996,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43
4406,4543,"999: Nine Hours, Nine Persons, Nine Doors",Nintendo DS,2009,Adventure,ChunSoft,0.37,0.0,0.03,0.03,0.43
4407,4544,Mobile Suit Gundam: Zeonic Front,Sony PlayStation 2,2001,Simulation,Namco Bandai Games,0.09,0.07,0.25,0.02,0.43
4408,4545,Zone of the Enders HD Collection,Sony PlayStation 3,2012,Simulation,Konami Digital Entertainment,0.21,0.08,0.09,0.05,0.43
4409,4546,Def Jam Icon,Sony PlayStation 3,2007,Action,Electronic Arts,0.16,0.19,0.0,0.08,0.43
4410,4547,Tales of the World: Radiant Mythology,Sony PlayStation Portable,2006,Role-Playing,Ubisoft,0.17,0.01,0.23,0.02,0.43
4411,4548,Monopoly,Sony PlayStation 2,2008,Misc,Electronic Arts,0.21,0.16,0.0,0.05,0.43
4412,4549,Dawn of Mana,Sony PlayStation 2,2006,Role-Playing,Square Enix,0.07,0.05,0.29,0.02,0.43
4413,4550,Microsoft Flight Simulator X,PC,2006,Simulation,Microsoft Game Studios,0.02,0.34,0.0,0.07,0.43
4414,4551,Lego Batman 3: Beyond Gotham,Microsoft Xbox One,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0.0,0.04,0.43
4415,4552,Madden NFL 2003,Nintendo GameCube,2002,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.43
4416,4553,NASCAR Kart Racing,Nintendo Wii,2009,Racing,Electronic Arts,0.39,0.0,0.0,0.03,0.43
4417,4554,Disney Sing It,Microsoft Xbox 360,2008,Misc,Disney Interactive Studios,0.39,0.01,0.0,0.03,0.43
4418,4555,Backyard Baseball,Nintendo Game Boy Advance,2002,Sports,Atari,0.31,0.11,0.0,0.01,0.43
4419,4556,Call of Duty: Black Ops II,Nintendo Wii U,2012,Shooter,Activision,0.21,0.18,0.0,0.03,0.43
4420,4557,TRON: Evolution,Sony PlayStation 3,2010,Action,Disney Interactive Studios,0.27,0.1,0.0,0.05,0.43
4421,4558,Midway Arcade Treasures,Microsoft Xbox,2003,Misc,Midway Games,0.33,0.08,0.0,0.01,0.43
4422,4559,Call of Duty: Modern Warfare: Mobilized,Nintendo DS,2009,Shooter,Activision,0.37,0.02,0.0,0.03,0.43
4423,4560,Petz: Horsez 2,Nintendo Wii,2007,Simulation,Ubisoft,0.39,0.0,0.0,0.03,0.43
4424,4561,The Smurfs,Nintendo DS,2011,Action,Ubisoft,0.24,0.14,0.0,0.04,0.43
4425,4562,Bakugan: Battle Brawlers,Sony PlayStation 2,2009,Action,Activision,0.21,0.16,0.0,0.05,0.43
4426,4563,NHL FaceOff 99,Sony PlayStation,1997,Sports,989 Studios,0.24,0.16,0.0,0.03,0.43
4427,4564,Skylanders: Trap Team,Sony PlayStation 4,2014,Action,Activision,0.18,0.17,0.0,0.07,0.43
4428,4565,SEGA Classics Collection,Sony PlayStation 2,2005,Misc,Sega,0.21,0.16,0.0,0.05,0.43
4429,4566,Pirates of the Caribbean: At World's End,Sony PlayStation Portable,2007,Action,Disney Interactive Studios,0.15,0.17,0.0,0.1,0.43
4430,4567,Juiced: Eliminator,Sony PlayStation Portable,2006,Racing,THQ,0.11,0.2,0.0,0.12,0.43
4431,4568,Naruto: Ninja Council 3,Nintendo DS,2006,Action,D3Publisher,0.39,0.0,0.0,0.03,0.42
4432,4569,Neon Genesis Evangelion 2nd Impression,Sega Saturn,1997,Role-Playing,Sega,0.0,0.0,0.42,0.0,0.42
4433,4570,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,Sony PlayStation Portable,2011,Strategy,Banpresto,0.0,0.0,0.42,0.0,0.42
4434,4571,NBA Street,Nintendo GameCube,2002,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.42
4435,4572,Ben 10 Alien Force: Vilgax Attacks,Nintendo DS,2009,Action,D3Publisher,0.22,0.16,0.0,0.04,0.42
4436,4573,Ben 10 Alien Force: Vilgax Attacks,Sony PlayStation Portable,2009,Action,D3Publisher,0.13,0.19,0.0,0.11,0.42
4437,4574,Valkyrie Profile: Covenant of the Plume,Nintendo DS,2008,Role-Playing,Square Enix,0.23,0.02,0.16,0.02,0.42
4438,4575,The Legend of Spyro: The Eternal Night,Sony PlayStation 2,2007,Platform,Vivendi Games,0.21,0.16,0.0,0.05,0.42
4439,4576,Mega Man Battle Network,Nintendo Game Boy Advance,2001,Role-Playing,Capcom,0.14,0.05,0.22,0.01,0.42
4440,4577,LEGO Rock Band,Sony PlayStation 3,2009,Misc,Warner Bros. Interactive Entertainment,0.24,0.13,0.0,0.06,0.42
4441,4578,25 to Life,Sony PlayStation 2,2006,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42
4442,4579,NHL 2K6,Sony PlayStation 2,2005,Sports,Take-Two Interactive,0.21,0.16,0.0,0.05,0.42
4443,4580,Medal of Honor: Rising Sun,Nintendo GameCube,2003,Shooter,Electronic Arts,0.33,0.09,0.0,0.01,0.42
4444,4581,The Sims,Microsoft Xbox,2003,Simulation,Electronic Arts,0.31,0.1,0.0,0.01,0.42
4445,4582,Guitar Hero: Smash Hits,Microsoft Xbox 360,2009,Misc,Activision,0.23,0.15,0.0,0.04,0.42
4446,4583,Dog's Life,Sony PlayStation 2,2003,Adventure,Sony Computer Entertainment,0.21,0.16,0.0,0.05,0.42
4447,4584,The X Files,Sony PlayStation,1999,Adventure,Sony Computer Entertainment,0.24,0.16,0.0,0.03,0.42
4448,4585,Super Wagyan Land,Super Nintendo Entertainment System,1991,Action,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
4449,4586,Rascal,Sony PlayStation,1998,Action,Psygnosis,0.24,0.16,0.0,0.03,0.42
4450,4587,Hometown Story,Nintendo 3DS,2013,Role-Playing,Rising Star Games,0.22,0.13,0.04,0.04,0.42
4451,4588,Tony Hawk's American Wasteland,Nintendo GameCube,2005,Sports,Activision,0.33,0.08,0.0,0.01,0.42
4452,4589,Top Spin 4,Microsoft Xbox 360,2011,Sports,Take-Two Interactive,0.15,0.23,0.0,0.04,0.42
4453,4590,Famicom Mini: Super Mario Bros. 2,Nintendo Game Boy Advance,2004,Platform,Nintendo,0.0,0.0,0.41,0.01,0.42
4454,4591,Crash: Mind Over Mutant,Nintendo DS,2008,Platform,Vivendi Games,0.39,0.0,0.0,0.03,0.42
4455,4592,Medal of Honor Heroes 2,Nintendo Wii,2007,Shooter,Electronic Arts,0.34,0.04,0.01,0.04,0.42
4456,4593,Yu-Gi-Oh! GX: Tag Force 2,Sony PlayStation Portable,2007,Strategy,Konami Digital Entertainment,0.03,0.2,0.1,0.11,0.42
4457,4594,Colony Wars,Sony PlayStation,1997,Simulation,Psygnosis,0.24,0.16,0.0,0.03,0.42
4458,4595,All-Star Baseball 2004,Sony PlayStation 2,2003,Sports,Acclaim Entertainment,0.21,0.16,0.0,0.05,0.42
4459,4596,Big Strike Bowling,Sony PlayStation,2003,Sports,Gotham Games,0.23,0.16,0.0,0.03,0.42
4460,4597,Ragnarok Odyssey,Sony Playstation Vita,2012,Role-Playing,GungHo,0.22,0.01,0.16,0.03,0.42
4461,4598,Harry Potter and the Deathly Hallows - Part 1,Nintendo DS,2010,Action,Electronic Arts,0.2,0.19,0.0,0.04,0.42
4462,4599,Horsez,Nintendo DS,2006,Simulation,Ubisoft,0.38,0.01,0.0,0.03,0.42
4463,4600,SpongeBob's Truth or Square (US sales),Nintendo DS,2009,Action,THQ,0.42,0.0,0.0,0.0,0.42
4464,4601,NASCAR Thunder 2002,Sony PlayStation,2001,Racing,Electronic Arts,0.23,0.16,0.0,0.03,0.42
4465,4602,Grandia,Sega Saturn,1997,Role-Playing,ESP,0.0,0.0,0.42,0.0,0.42
4466,4603,ESPN NHL 2K5,Microsoft Xbox,2004,Sports,Global Star,0.32,0.09,0.0,0.02,0.42
4467,4604,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,Nintendo Game Boy Advance,2005,Misc,Konami Digital Entertainment,0.3,0.11,0.0,0.01,0.42
4468,4605,Hot Wheels World Race,Sony PlayStation 2,2003,Racing,THQ,0.21,0.16,0.0,0.05,0.42
4469,4606,Avatar: The Last Airbender - The Burning Earth,Sony PlayStation 2,2007,Action,THQ,0.21,0.16,0.0,0.05,0.42
4470,4607,Superman: Shadow of Apokolips,Sony PlayStation 2,2002,Action,Atari,0.21,0.16,0.0,0.05,0.42
4471,4608,NiGHTS: Journey of Dreams,Nintendo Wii,2007,Platform,Sega,0.33,0.03,0.04,0.03,0.42
4472,4609,American Chopper,Sony PlayStation 2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0.0,0.06,0.42
4473,4610,Vanquish,Microsoft Xbox 360,2010,Shooter,Sega,0.19,0.17,0.03,0.04,0.42
4474,4611,Star Wars Trilogy: Apprentice of the Force,Nintendo Game Boy Advance,2004,Action,Ubisoft,0.3,0.11,0.0,0.01,0.42
4475,4612,Marvel Super Hero Squad,Nintendo DS,2009,Fighting,THQ,0.37,0.02,0.0,0.03,0.42
4476,4613,Lemony Snicket's A Series of Unfortunate Events,Nintendo Game Boy Advance,2004,Platform,Activision,0.3,0.11,0.0,0.01,0.42
4477,4614,JGTC: All-Japan Grand Touring Car Championship,Sony PlayStation,1998,Racing,TYO,0.23,0.16,0.0,0.03,0.42
4478,4615,NBA Live 06,Sony PlayStation Portable,2005,Sports,Electronic Arts,0.39,0.0,0.0,0.03,0.42
4479,4616,Arc the Lad III,Sony PlayStation,1999,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.39,0.03,0.42
4480,4617,Solitaire Overload,Nintendo DS,2007,Misc,Telegames,0.39,0.0,0.0,0.03,0.42
4481,4618,Mobile Suit Gundam: Gundam vs. Gundam,Sony PlayStation Portable,2008,Fighting,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
4482,4619,Test Drive,Microsoft Xbox,2002,Racing,Atari,0.35,0.05,0.0,0.02,0.42
4483,4620,Jikkyou Powerful Pro Yakyuu 11,Sony PlayStation 2,2004,Sports,Konami Digital Entertainment,0.0,0.0,0.42,0.0,0.42
4484,4621,Ghost Trick: Phantom Detective,Nintendo DS,2010,Adventure,Capcom,0.2,0.08,0.12,0.03,0.42
4485,4622,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,Sony PlayStation 2,2003,Action,THQ,0.21,0.16,0.0,0.05,0.42
4486,4623,Rush 2: Extreme Racing USA,Nintendo 64,1998,Racing,Midway Games,0.35,0.06,0.0,0.0,0.42
4487,4624,NFL Blitz 2001,Nintendo 64,2000,Sports,Midway Games,0.34,0.07,0.0,0.0,0.42
4488,4625,Dr. Mario 64,Nintendo 64,2001,Puzzle,Nintendo,0.34,0.07,0.0,0.0,0.42
4489,4626,Jikkyou Powerful Pro Yakyuu 6,Nintendo 64,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.42
4490,4627,Army Men: Sarge's Heroes 2,Nintendo 64,2000,Shooter,3DO,0.34,0.07,0.0,0.0,0.42
4491,4628,James Bond 007: Everything or Nothing,Nintendo GameCube,2004,Shooter,Electronic Arts,0.32,0.08,0.0,0.01,0.42
4492,4629,Green Day: Rock Band,Sony PlayStation 3,2010,Misc,MTV Games,0.19,0.16,0.0,0.07,0.42
4493,4630,Wolfenstein: The Old Blood,Sony PlayStation 4,2015,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42
4494,4631,MLB 08: The Show,Sony PlayStation 2,2008,Sports,Sony Computer Entertainment,0.35,0.01,0.0,0.06,0.42
4495,4632,Disney Infinity 2.0: Marvel Super Heroes,Microsoft Xbox One,2014,Action,Disney Interactive Studios,0.24,0.15,0.0,0.03,0.42
4496,4633,Dance Dance Revolution Ultramix 2,Microsoft Xbox,2004,Simulation,Konami Digital Entertainment,0.32,0.09,0.0,0.02,0.42
4497,4634,Mega Man Anniversary Collection,Nintendo GameCube,2004,Platform,Capcom,0.32,0.08,0.0,0.01,0.42
4498,4635,Blazing Angels: Squadrons of WWII,Microsoft Xbox 360,2006,Simulation,Ubisoft,0.36,0.03,0.0,0.03,0.42
4499,4636,Super Famista 4,Super Nintendo Entertainment System,1995,Sports,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
4500,4638,Cabela's Legendary Adventures,Sony PlayStation 2,2008,Sports,Activision,0.21,0.16,0.0,0.05,0.42
4501,4639,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,Nintendo DS,2010,Misc,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
4502,4640,Harry Potter and the Goblet of Fire,Nintendo GameCube,2005,Action,Electronic Arts,0.32,0.08,0.0,0.01,0.42
4503,4641,JumpStart: Escape from Adventure Island,Nintendo Wii,2009,Adventure,Knowledge Adventure,0.39,0.0,0.0,0.03,0.42
4504,4642,Thrillville: Off the Rails,Sony PlayStation 2,2007,Strategy,LucasArts,0.2,0.16,0.0,0.05,0.42
4505,4643,Style Lab: Makeover,Nintendo DS,2009,Simulation,Ubisoft,0.35,0.03,0.0,0.03,0.42
4506,4644,Condemned: Criminal Origins,Microsoft Xbox 360,2005,Action,Sega,0.36,0.03,0.0,0.03,0.42
4507,4645,Mega Man X6,Sony PlayStation,2001,Action,Capcom,0.14,0.1,0.16,0.03,0.42
4508,4646,Monster Jam: Urban Assault,Nintendo Wii,2008,Racing,Activision,0.39,0.0,0.0,0.03,0.42
4509,4647,BloodRayne,Sony PlayStation 2,2002,Shooter,Universal Interactive,0.2,0.16,0.0,0.05,0.42
4510,4648,Kumamon Bomber: Puzzle de Kumamon Taisou,Nintendo GameCube,2005,Puzzle,Sega,0.32,0.08,0.0,0.01,0.42
4511,4649,Castlevania: Curse of Darkness,Sony PlayStation 2,2005,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42
4512,4650,Tom Clancy's HAWX 2,Sony PlayStation 3,2010,Action,Ubisoft,0.21,0.12,0.03,0.05,0.42
4513,4651,Harvest Moon: Grand Bazaar,Nintendo DS,2008,Simulation,Rising Star Games,0.22,0.05,0.13,0.02,0.42
4514,4652,International Superstar Soccer Pro '98,Sony PlayStation,1998,Sports,Konami Digital Entertainment,0.02,0.02,0.35,0.03,0.42
4515,4653,Jimmy Neutron: Boy Genius,Nintendo Game Boy Advance,2001,Platform,THQ,0.3,0.11,0.0,0.01,0.42
4516,4654,Black,Microsoft Xbox,2006,Shooter,Electronic Arts,0.31,0.09,0.0,0.01,0.42
4517,4655,Zack & Wiki: Quest for Barbaros' Treasure,Nintendo Wii,2007,Adventure,Nintendo,0.18,0.17,0.03,0.04,0.42
4518,4656,Double Pack: Finding Nemo / The Incredibles,Microsoft Xbox,2006,Action,THQ,0.31,0.09,0.0,0.01,0.42
4519,4657,Star Wars The Clone Wars: Republic Heroes,Sony PlayStation Portable,2009,Action,LucasArts,0.21,0.13,0.0,0.08,0.42
4520,4658,NBA 2K11,Sony PlayStation Portable,2010,Action,Take-Two Interactive,0.39,0.0,0.0,0.03,0.42
4521,4659,Animal Crossing: Amiibo Festival,Nintendo Wii U,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.42
4522,4660,Hyrule Warriors,Nintendo 3DS,2016,Action,Nintendo,0.16,0.12,0.11,0.03,0.42
4523,4661,Harry Potter and the Deathly Hallows - Part 1,Sony PlayStation 3,2010,Action,Electronic Arts,0.13,0.21,0.0,0.08,0.42
4524,4662,Fishing Resort,Nintendo Wii,2011,Sports,Namco Bandai Games,0.16,0.0,0.25,0.01,0.42
4525,4663,WWE All Stars,Sony PlayStation 3,2011,Fighting,THQ,0.16,0.18,0.0,0.07,0.42
4526,4664,Lord of the Rings: The Third Age,Microsoft Xbox,2004,Role-Playing,Electronic Arts,0.31,0.09,0.0,0.01,0.42
4527,4665,Football Manager Handheld 2011,Sony PlayStation Portable,2010,Sports,Sega,0.0,0.28,0.0,0.14,0.42
4528,4666,Pirates of the Caribbean: At World's End,Sony PlayStation 2,2007,Action,Disney Interactive Studios,0.2,0.16,0.0,0.05,0.42
4529,4667,Mega Man Legends 2,Sony PlayStation,2000,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42
4530,4668,X-Men vs. Street Fighter,Sony PlayStation,1997,Fighting,Capcom,0.16,0.11,0.12,0.03,0.42
4531,4669,High Rollers Casino,Sony PlayStation 2,2004,Misc,Mud Duck Productions,0.2,0.16,0.0,0.05,0.42
4532,4670,Castlevania: The Dracula X Chronicles,Sony PlayStation Portable,2007,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.42
4533,4671,The Suffering,Sony PlayStation 2,2004,Action,Midway Games,0.2,0.16,0.0,0.05,0.42
4534,4672,Cyber Troopers Virtual-On,Sega Saturn,1995,Fighting,Sega,0.0,0.0,0.42,0.0,0.42
4535,4673,Katamari Forever,Sony PlayStation 3,2009,Puzzle,Namco Bandai Games,0.26,0.05,0.06,0.04,0.42
4536,4674,Star Wars Starfighter: Special Edition,Microsoft Xbox,2001,Simulation,LucasArts,0.3,0.1,0.0,0.02,0.42
4537,4675,TimeShift,Microsoft Xbox 360,2007,Shooter,Vivendi Games,0.36,0.02,0.0,0.03,0.41
4538,4676,NBA Jam,Sony PlayStation 2,2003,Sports,Acclaim Entertainment,0.2,0.16,0.0,0.05,0.41
4539,4677,Zone of the Enders: The 2nd Runner,Sony PlayStation 2,2003,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41
4540,4678,Ghostbusters: The Video Game,Nintendo DS,2009,Action,Atari,0.26,0.12,0.0,0.04,0.41
4541,4679,Attack on Titan: Humanity in Chains,Nintendo 3DS,2013,Action,Screenlife,0.0,0.0,0.41,0.0,0.41
4542,4680,Jampack Spring 2004 (RP-T),Sony PlayStation 2,2003,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
4543,4681,Dexter's Laboratory Deesaster Strikes,Nintendo Game Boy Advance,2001,Adventure,BAM! Entertainment,0.3,0.11,0.0,0.01,0.41
4544,4682,NFL GameDay 2004,Sony PlayStation 2,2003,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
4545,4683,Scooby-Doo and the Cyber Chase,Nintendo Game Boy Advance,2001,Adventure,Ubisoft,0.3,0.11,0.0,0.01,0.41
4546,4684,Danganronpa: Trigger Happy Havoc,Sony Playstation Vita,2013,Misc,Nippon Ichi Software,0.14,0.07,0.15,0.06,0.41
4547,4686,Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41
4548,4687,pro evolution soccer 2011,Sony PlayStation 2,2010,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41
4549,4688,Sega Rally Championship 2,Sega Dreamcast,1999,Racing,Sega,0.0,0.0,0.41,0.0,0.41
4550,4689,Quake II,Sony PlayStation,1998,Shooter,Activision,0.23,0.16,0.0,0.03,0.41
4551,4690,Crash of the Titans,Sony PlayStation 2,2007,Action,Vivendi Games,0.34,0.01,0.0,0.06,0.41
4552,4691,BioShock,PC,2007,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41
4553,4692,Cars: Mater-National Championship,Sony PlayStation 3,2007,Racing,THQ,0.37,0.01,0.0,0.03,0.41
4554,4693,MLB 10: The Show,Sony PlayStation 2,2010,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
4555,4694,Wheel of Fortune: 2nd Edition,Sony PlayStation,2000,Misc,Hasbro Interactive,0.23,0.16,0.0,0.03,0.41
4556,4695,Tom Clancy's Rainbow Six: Lockdown,Microsoft Xbox,2005,Shooter,Ubisoft,0.26,0.13,0.0,0.02,0.41
4557,4696,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,Sony PlayStation Portable,2009,Fighting,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
4558,4697,Cool Boarders 2001,Sony PlayStation,2000,Sports,Sony Computer Entertainment,0.23,0.16,0.0,0.03,0.41
4559,4698,Grudge Warriors,Sony PlayStation,1999,Action,Take-Two Interactive,0.23,0.16,0.0,0.03,0.41
4560,4699,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,Sony PlayStation,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.41
4561,4700,Destiny: The Taken King,Sony PlayStation 3,2015,Shooter,Activision,0.16,0.17,0.02,0.06,0.41
4562,4701,Mobile Suit Gundam,Sega Saturn,1995,Action,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
4563,4702,Mass Effect Trilogy,Microsoft Xbox 360,2012,Action,Electronic Arts,0.28,0.1,0.0,0.03,0.41
4564,4703,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Sony PlayStation Portable,2009,Shooter,Activision,0.17,0.15,0.0,0.09,0.41
4565,4704,Wolfenstein: The New Order,Microsoft Xbox 360,2014,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41
4566,4705,James Patterson Women's Murder Club: Games of Passion,Nintendo DS,2009,Adventure,THQ,0.15,0.22,0.0,0.05,0.41
4567,4706,Farming Simulator 2015,Microsoft Xbox 360,2015,Simulation,Koch Media,0.21,0.16,0.0,0.04,0.41
4568,4707,Jimmy Neutron: Boy Genius,Sony PlayStation 2,2002,Platform,THQ,0.2,0.16,0.0,0.05,0.41
4569,4708,Itadaki Street DS,Nintendo DS,2007,Misc,Square Enix,0.0,0.0,0.41,0.0,0.41
4570,4709,Castlevania: Order of Ecclesia,Nintendo DS,2008,Platform,Konami Digital Entertainment,0.31,0.03,0.04,0.03,0.41
4571,4710,BlazBlue: Continuum Shift,Sony PlayStation 3,2010,Fighting,PQube,0.21,0.08,0.09,0.04,0.41
4572,4711,X-Men: The Official Game,Sony PlayStation 2,2006,Action,Activision,0.2,0.16,0.0,0.05,0.41
4573,4712,300: March to Glory,Sony PlayStation Portable,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41
4574,4713,E0: Enemy Zero,Sega Saturn,1996,Adventure,Sega,0.0,0.0,0.41,0.0,0.41
4575,4714,Nicktoons: Unite!,Sony PlayStation 2,2005,Adventure,THQ,0.34,0.01,0.0,0.06,0.41
4576,4715,Six Flags Fun Park,Nintendo Wii,2009,Misc,Ubisoft,0.28,0.1,0.0,0.04,0.41
